The video is over!
Time of video Queue Density, Dynamic Density
38.1005, 0.533437, 0
38.1671, 0.534988, 0
38.2337, 0.537095, 0
38.3003, 0.539946, 0
38.3669, 0.541952, 0
38.4335, 0.541447, 0
38.5001, 0.542612, 0
38.5667, 0.545235, 0
38.6333, 0.55164, 0
38.6999, 0.550567, 0
38.7665, 0.551424, 0
38.8332, 0.553245, 0
38.8998, 0.554163, 0
38.9664, 0.556501, 0
39.033, 0.557643, 0
39.0996, 0.559915, 0
39.1662, 0.559028, 0
39.2328, 0.559799, 0
39.2994, 0.562581, 0
39.366, 0.562427, 0
39.4326, 0.560266, 0
39.4992, 0.562427, 0
39.5659, 0.563507, 0
39.6325, 0.550247, 0
39.6991, 0.552411, 0
39.7657, 0.553179, 0
39.8323, 0.556991, 0
39.8989, 0.5589, 0
39.9655, 0.561906, 0
40.0321, 0.559795, 0
40.0987, 0.561867, 0
40.1653, 0.563723, 0
40.2319, 0.564691, 0
40.2986, 0.567909, 0
40.3652, 0.564988, 0
40.4318, 0.570598, 0
40.4984, 0.572249, 0
40.565, 0.572033, 0
40.6316, 0.573754, 0
40.6982, 0.579641, 0
40.7648, 0.581979, 0
40.8314, 0.583283, 0
40.898, 0.589668, 0
40.9646, 0.59289, 0
41.0313, 0.592789, 0
41.0979, 0.594568, 0
41.1645, 0.595968, 0
41.2311, 0.599464, 0
41.2977, 0.598117, 0
41.3643, 0.600394, 0
41.4309, 0.603989, 0
41.4975, 0.607569, 0
41.5641, 0.606995, 0
41.6307, 0.610382, 0
41.6973, 0.610374, 0
41.764, 0.610999, 0
41.8306, 0.610289, 0
41.8972, 0.611312, 0
41.9638, 0.610876, 0
42.0304, 0.613021, 0
42.097, 0.616111, 0
42.1636, 0.618225, 0
42.2302, 0.616431, 0
42.2968, 0.615606, 0
42.3634, 0.618681, 0
42.43, 0.617049, 0
42.4967, 0.613831, 0
42.5633, 0.613268, 0
42.6299, 0.614433, 0
42.6965, 0.615143, 0
42.7631, 0.613727, 0
42.8297, 0.616092, 0
42.8963, 0.616385, 0
42.9629, 0.627635, 0
43.0295, 0.627839, 0
43.0961, 0.629726, 0
43.1627, 0.630116, 0
43.2294, 0.633079, 0
43.296, 0.633086, 0
43.3626, 0.633144, 0
43.4292, 0.631073, 0
43.4958, 0.633206, 0
43.5624, 0.634807, 0
43.629, 0.634792, 0
43.6956, 0.635903, 0
43.7622, 0.638472, 0
43.8288, 0.639086, 0
43.8954, 0.638025, 0
43.9621, 0.637971, 0
44.0287, 0.638796, 0
44.0953, 0.640355, 0
44.1619, 0.640463, 0
44.2285, 0.641628, 0
44.2951, 0.644232, 0
44.3617, 0.642735, 0
44.4283, 0.643974, 0
44.4949, 0.643322, 0
44.5615, 0.644429, 0
44.6282, 0.624105, 0
44.6948, 0.625868, 0
44.7614, 0.62446, 0
44.828, 0.629039, 0
44.8946, 0.629834, 0
44.9612, 0.631049, 0
45.0278, 0.630301, 0
45.0944, 0.630706, 0
45.161, 0.633426, 0
45.2276, 0.630521, 0
45.2942, 0.632774, 0
45.3609, 0.635857, 0
45.4275, 0.634761, 0
45.4941, 0.640066, 0
45.5607, 0.640428, 0
45.6273, 0.639622, 0
45.6939, 0.641763, 0
45.7605, 0.64115, 0
45.8271, 0.641505, 0
45.8937, 0.642681, 0
45.9603, 0.641782, 0
46.0269, 0.64157, 0
46.0936, 0.642461, 0
46.1602, 0.643125, 0
46.2268, 0.644429, 0
46.2934, 0.627986, 0
46.36, 0.627975, 0
46.4266, 0.630752, 0
46.4932, 0.632616, 0
46.5598, 0.631902, 0
46.6264, 0.63076, 0
46.693, 0.632434, 0
46.7596, 0.632635, 0
46.8263, 0.634147, 0
46.8929, 0.635467, 0
46.9595, 0.635312, 0
47.0261, 0.635891, 0
47.0927, 0.637693, 0
47.1593, 0.636154, 0
47.2259, 0.637558, 0
47.2925, 0.635822, 0
47.3591, 0.636929, 0
47.4257, 0.639703, 0
47.4923, 0.63934, 0
47.559, 0.638596, 0
47.6256, 0.640656, 0
47.6922, 0.640961, 0
47.7588, 0.64191, 0
47.8254, 0.641686, 0
47.892, 0.642404, 0
47.9586, 0.637743, 0
48.0252, 0.63765, 0
48.0918, 0.639329, 0
48.1584, 0.642569, 0
48.225, 0.641821, 0
48.2917, 0.642153, 0
48.3583, 0.644255, 0
48.4249, 0.643546, 0
48.4915, 0.645069, 0
48.5581, 0.643611, 0
48.6247, 0.644429, 0
48.6913, 0.6437, 0
48.7579, 0.644718, 0
48.8245, 0.64412, 0
48.8911, 0.64635, 0
48.9577, 0.646157, 0
49.0244, 0.647311, 0
49.091, 0.64662, 0
49.1576, 0.647176, 0
49.2242, 0.646235, 0
49.2908, 0.646532, 0
49.3574, 0.64632, 0
49.424, 0.649464, 0
49.4906, 0.649672, 0
49.5572, 0.64929, 0
49.6238, 0.62571, 0
49.6904, 0.628893, 0
49.7571, 0.627805, 0
49.8237, 0.633017, 0
49.8903, 0.630737, 0
49.9569, 0.633665, 0
50.0235, 0.617068, 0
50.0901, 0.619016, 0
50.1567, 0.621181, 0
50.2233, 0.622894, 0
50.2899, 0.621728, 0
50.3565, 0.621427, 0
50.4231, 0.626346, 0
50.4898, 0.624475, 0
50.5564, 0.624888, 0
50.623, 0.625559, 0
50.6896, 0.627431, 0
50.7562, 0.627515, 0
50.8228, 0.626806, 0
50.8894, 0.628129, 0
50.956, 0.62836, 0
51.0226, 0.628727, 0
51.0892, 0.631096, 0
51.1559, 0.628951, 0
51.2225, 0.629591, 0
51.2891, 0.641736, 0
51.3557, 0.640255, 0
51.4223, 0.640285, 0
51.4889, 0.640583, 0
51.5555, 0.637141, 0
51.6221, 0.642184, 0
51.6887, 0.641304, 0
51.7553, 0.646358, 0
51.8219, 0.648248, 0
51.8886, 0.648179, 0
