The video is over!
Frame Number 	Queue Density
867		0.684417
868		0.682141
869		0.684541
870		0.663503
871		0.663526
872		0.666157
873		0.667323
874		0.667832
875		0.668711
876		0.667994
877		0.66784
878		0.667346
879		0.667701
880		0.655818
881		0.653627
882		0.653025
883		0.652701
884		0.653295
885		0.654684
886		0.654807
887		0.655918
888		0.659552
889		0.658681
890		0.660015
891		0.661466
892		0.660934
893		0.661983
894		0.660648
895		0.660525
896		0.662724
897		0.66564
898		0.666308
899		0.665235
900		0.663758
901		0.664583
902		0.667809
903		0.669282
904		0.669244
905		0.679252
906		0.679082
907		0.680177
908		0.681289
909		0.681605
910		0.682647
911		0.681883
912		0.681026
913		0.681289
914		0.680455
915		0.682793
916		0.680548
917		0.678935
918		0.682732
919		0.678943
920		0.677245
921		0.678804
922		0.680552
923		0.681682
924		0.682191
925		0.680957
926		0.68311
927		0.682994
928		0.687431
929		0.686906
930		0.66115
931		0.663121
932		0.660664
933		0.666165
934		0.662971
935		0.665733
936		0.666836
937		0.669958
938		0.673013
939		0.672226
940		0.6762
941		0.67784
942		0.67784
943		0.68061
944		0.682029
945		0.681227
946		0.678754
947		0.68032
948		0.67978
949		0.6814
950		0.680621
951		0.678191
952		0.678252
953		0.675289
954		0.675667
955		0.672083
956		0.673449
957		0.673337
958		0.670725
959		0.676782
960		0.673306
961		0.673156
962		0.678588
963		0.677469
964		0.675359
965		0.67919
966		0.67765
967		0.678738
968		0.681998
969		0.67843
970		0.68034
971		0.680502
972		0.680448
973		0.6824
974		0.682307
975		0.682245
976		0.686875
977		0.686211
978		0.686096
979		0.685077
980		0.681505
981		0.679788
982		0.684333
983		0.681914
984		0.68417
985		0.684286
986		0.683796
987		0.681802
988		0.679958
989		0.683144
990		0.685718
991		0.68772
992		0.685
993		0.69174
994		0.691755
995		0.691454
996		0.693758
997		0.691759
998		0.694529
999		0.693927
1000		0.692963
1001		0.672589
1002		0.671208
1003		0.673738
1004		0.670598
1005		0.670802
1006		0.668245
1007		0.671346
1008		0.670586
1009		0.672978
1010		0.674985
1011		0.664502
1012		0.663391
1013		0.667809
1014		0.665853
1015		0.667191
1016		0.668229
1017		0.669579
1018		0.66527
1019		0.665833
1020		0.667593
1021		0.667909
1022		0.668279
1023		0.672693
1024		0.66875
1025		0.670992
1026		0.67162
1027		0.666894
1028		0.670363
1029		0.668603
1030		0.67294
1031		0.668515
1032		0.673345
1033		0.670444
1034		0.671154
1035		0.675174
1036		0.670339
1037		0.665123
1038		0.668495
1039		0.67213
1040		0.675799
1041		0.672878
1042		0.67463
1043		0.675131
1044		0.671613
1045		0.670964
1046		0.676798
1047		0.676393
1048		0.680054
1049		0.679892
1050		0.680031
1051		0.67956
1052		0.679626
1053		0.678897
1054		0.682384
1055		0.679267
1056		0.678773
1057		0.678619
1058		0.678048
1059		0.678603
1060		0.679915
1061		0.671806
1062		0.674904
1063		0.670629
1064		0.671424
1065		0.673457
1066		0.673322
1067		0.673538
1068		0.675806
1069		0.676289
1070		0.675193
1071		0.676836
1072		0.678329
1073		0.678978
1074		0.674938
1075		0.682932
1076		0.67789
1077		0.681535
1078		0.680247
1079		0.682045
1080		0.682049
1081		0.683943
1082		0.68385
1083		0.687654
1084		0.686682
1085		0.687762
1086		0.676995
1087		0.676682
1088		0.676744
1089		0.677083
1090		0.677222
1091		0.677161
1092		0.674483
1093		0.679105
1094		0.674973
1095		0.678634
1096		0.677145
1097		0.680077
1098		0.677901
1099		0.678912
1100		0.677708
1101		0.675702
1102		0.676366
1103		0.677276
1104		0.678742
1105		0.680579
1106		0.676844
1107		0.675826
1108		0.67848
1109		0.676443
1110		0.677786
1111		0.671771
1112		0.670486
1113		0.675621
1114		0.676285
1115		0.679101
1116		0.67539
1117		0.677932
1118		0.677901
1119		0.678673
1120		0.678789
1121		0.679356
1122		0.68066
1123		0.678615
1124		0.680143
1125		0.678542
1126		0.678569
1127		0.680579
1128		0.678885
1129		0.679294
1130		0.680907
1131		0.683059
1132		0.683808
1133		0.682704
1134		0.682002
1135		0.684062
1136		0.668125
1137		0.666528
1138		0.665922
